,name,category,default,lower_bound,upper_bound,unit,enum_choices
138,restart_after_crash,enum,on,0.0,2.0,,"[off, on]"
140,ssl,enum,off,0.0,1.0,,[off]
145,standard_conforming_strings,enum,on,0.0,2.0,,"[off, on]"
147,synchronize_seqscans,enum,on,0.0,2.0,,"[off, on]"
148,synchronous_commit,enum,on,0.0,5.0,,"[local, remote_write, remote_apply, on, off]"
149,syslog_facility,enum,local0,0.0,8.0,,"[local0, local1, local2, local3, local4, local5, local6, local7]"
152,trace_notify,enum,off,0.0,2.0,,"[off, on]"
153,trace_recovery_messages,enum,log,0.0,9.0,,"[debug5, debug4, debug3, debug2, debug1, log, notice, warning, error]"
154,trace_sort,enum,off,0.0,2.0,,"[off, on]"
155,transaction_deferrable,enum,off,0.0,2.0,,"[off, on]"
157,transaction_read_only,enum,off,0.0,2.0,,"[off, on]"
158,transform_null_equals,enum,off,0.0,2.0,,"[off, on]"
160,wal_sync_method,enum,fdatasync,0.0,4.0,,"[fsync, fdatasync, open_sync, open_datasync]"
161,xmlbinary,enum,base64,0.0,2.0,,"[base64, hex]"
162,xmloption,enum,content,0.0,2.0,,"[content, document]"
163,autovacuum_freeze_max_age,int,200000000,100000.0,2000000000.0,,
164,autovacuum_max_workers,int,3,1.0,10000.0,,
166,autovacuum_vacuum_cost_delay,int,2,-1.0,100.0,,
167,autovacuum_vacuum_cost_limit,int,-1,-1.0,10000.0,,
170,backend_flush_after,int,0,0.0,256.0,,
171,commit_delay,int,0,0.0,4096.0,,
172,data_sync_retry,enum,off,0.0,2.0,,"['on', 'off']"
173,deadlock_timeout,int,1000,1.0,5000.0,,
174,geqo_generations,int,0,0.0,1000.0,,
175,geqo_pool_size,int,0,0.0,1000.0,,
179,max_connections,int,100,5.0,10000.0,,
180,max_files_per_process,int,1000,64.0,50000.0,,
181,max_locks_per_transaction,int,64,10.0,1024.0,,
183,max_pred_locks_per_transaction,int,64,10.0,150.0,,
184,max_prepared_transactions,int,0,0.0,1024.0,,
185,max_stack_depth,int,100,100.0,7680.0,,
188,shared_buffers,int,1024,16.0,300000.0,,
189,temp_file_limit,int,-1,-1.0,100000.0,,
190,wal_buffers,int,-1,-1.0,20000.0,,
193,wal_log_hints,enum,off,0.0,2.0,,"['on', 'off']"
